#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-29T20:44:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5de1812c99bd 
#INFO -out.max=unlimited 
#INFO queryParameters=14 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5de1812c99bd&-out.max=unlimited&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=V/50/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=HR&-out=GLON&-out=GLAT&-out=Vmag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=V/50/catalog
#-source=V/50/catalog
#-out=HR
#-out=GLON
#-out=GLAT
#-out=Vmag
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#---Details of Columns:
    HR         (I4)    [1/9110]+ Harvard Revised Number = Bright Star Number [ucd=meta.id;meta.main]
    GLON (deg) (F6.2)  ?Galactic longitude (1) [ucd=pos.galactic.lon]
    GLAT (deg) (F6.2)  ?Galactic latitude (1) [ucd=pos.galactic.lat]
    Vmag (mag) (F5.2)  ?Visual magnitude (1) [ucd=phot.mag;em.opt.V]
---- ------ ------ -----
     GLON   GLAT   Vmag 
HR   (deg)  (deg)  (mag)
---- ------ ------ -----
   1 114.44 -16.88  6.70
   2  98.33 -61.14  6.29
   3  93.75 -65.93  4.61
   4 106.19 -47.98  5.51
   5 117.03  -3.92  5.96
   6 321.61 -66.38  5.70
   7 118.06   1.75  5.59
   8 111.26 -32.83  6.13
   9  52.21 -79.14  6.18
  10  74.36 -75.90  6.19
  11  98.02 -63.29  6.43
  12  55.56 -79.07  5.94
  13 355.91 -78.67  5.68
  14  98.34 -63.24  6.07
  15 111.73 -32.84  2.06
  16  91.79 -69.04  5.99
  17 113.45 -25.45  6.19
  18  74.69 -76.25  6.06
  19 110.97 -36.42  6.23
  20 120.98  17.00  6.01
  21 117.52  -3.27  2.27
  22 108.99 -43.51  5.53
  23 316.25 -62.02  6.33
  24  25.24 -80.63  5.42
  25 324.34 -69.60  3.88
  26 106.87 -50.43  5.51
  27 115.52 -16.21  5.03
  28 117.38  -5.26  6.74
  29  96.99 -66.03  5.84
  30 304.63 -34.77  5.28
  31  87.69 -72.60  5.85
  32 306.98 -43.58  6.64
  33  82.24 -75.06  4.89
  34  26.30 -81.13  5.41
  35 347.16 -78.34  5.25
  36 116.16 -14.20  6.16
  37  76.32 -77.10  5.25
  38 114.55 -24.55  6.73
  39 109.43 -46.68  2.83
  40 112.56 -35.12  6.30
  41 115.27 -21.27  5.72
  42  38.28 -81.49  5.94
  43  36.52 -81.54  6.31
  44 113.99 -29.02  6.25
  45 111.30 -41.83  4.80
  46  96.87 -68.76  5.12
  47 303.91 -32.06  5.77
  48  75.11 -78.23  4.44
  49 111.92 -39.81  6.24
  50 107.86 -52.98  5.79
  51  95.06 -70.44  5.75
  52 113.93 -30.70  6.45
  53 113.10 -34.90  6.35
  54 345.80 -78.99  6.17
  55 120.89  14.22  6.35
  56 116.23 -18.82  6.15
  57   1.53 -81.18  5.67
  58 305.79 -41.02  6.49
  59 108.28 -53.64  6.11
  60 118.83  -1.06  5.74
  61  72.13 -79.47  6.47
  62 117.01 -14.53  5.89
  63 115.62 -23.70  4.61
  64 305.07 -38.20  6.77
  65 117.59 -11.09  6.14
  66  77.21 -78.78  6.45
  67 105.89 -60.07  6.17
  68 115.59 -25.61  4.52
  69 110.00 -50.83  6.05
  70 116.70 -18.68  6.11
  71 114.79 -30.84  5.87
  72  99.29 -69.40  6.46
  73 323.20 -72.58  6.33
  74  98.98 -70.19  3.56
  75 116.46 -21.74  6.33
  76 117.63 -13.68  6.52
  77 308.35 -51.90  4.23
  78 115.13 -31.47  5.90
  79 115.53 -29.52  5.79
  80 109.91 -53.90  5.37
  81 110.93 -51.18  6.56
  82 116.37 -24.52  5.18
  83 306.87 -47.27  5.51
  84  15.52 -83.15  5.18
  85  77.51 -80.20  5.12
  86 112.19 -48.78  6.23
  87 305.04 -39.58  5.97
  88  97.34 -73.64  6.39
  89 358.89 -82.70  6.55
  90 117.07 -23.98  7.39
  91 118.68 -10.63  5.57
  93 119.79  -0.88  5.40
  94 107.27 -64.27  6.07
  96 118.92  -9.62  5.74
  97 109.73 -60.26  5.77
  98 304.81 -39.77  2.80
  99 320.02 -73.98  2.39
 100 318.42 -72.68  3.94
 101 109.50 -62.27  6.19
 102  47.84 -84.35  5.98
 103 115.10 -44.62  5.06
 104 118.57 -18.28  5.17
 105 342.36 -82.23  4.81
 106 114.89 -46.06  6.06
 107 113.62 -52.26  6.04
 108  83.87 -81.40  6.43
 109 321.94 -76.35  5.43
 110 117.94 -25.75  6.26
 111 311.91 -66.20  6.26
 112 121.74  14.20  6.21
 113 120.29  -2.79  5.94
 114 117.42 -32.89  5.23
 115  99.58 -76.75  6.14
 116 344.92 -83.15  6.57
 117 109.57 -66.27  5.72
 118  66.87 -84.19  5.19
 119 318.97 -75.53  6.19
 120 312.52 -68.52  5.69
 121 120.94   3.73  6.18
 122 118.16 -29.10  5.87
 123 120.05  -8.24  4.73
 124 119.91  -9.92  5.60
 125 311.75 -67.98  4.77
 126 306.78 -54.02  4.37
 127 306.78 -54.01  4.54
 128 119.29 -19.24  6.70
 129 121.44   8.16  6.42
 130 120.84   0.14  4.16
 131 116.94 -42.36  5.38
 132 114.55 -55.61  5.67
 133 117.82 -35.10  6.67
 134 117.96 -34.41  6.30
 135 120.28  -7.88  5.93
 136 306.54 -53.97  5.09
 137 121.25   3.93  6.48
 138   0.01 -85.40  5.55
 139 305.01 -45.79  6.13
 140 308.97 -64.55  5.57
 141 116.77 -49.30  6.40
 142 112.89 -66.15  5.20
 143 114.12 -63.10  5.93
 144 120.67  -8.64  5.08
 145 117.11 -49.49  6.41
 146 121.08  -2.49  5.79
 147 310.27 -68.90  5.51
 148 307.83 -62.16  6.06
 149 118.81 -35.50  6.50
 150 105.75 -77.33  6.45
 151  83.10 -84.48  6.06
 152 120.18 -18.31  5.13
 153 120.78  -8.91  3.66
 154 119.47 -29.05  4.36
 155 117.70 -47.49  5.89
 156 118.74 -38.74  6.47
 157 119.70 -27.38  5.48
 158 122.53  19.63  6.40
 159  68.68 -86.03  5.57
 160 305.46 -51.93  6.42
 161 116.06 -59.55  6.39
 162 307.41 -62.61  6.41
 163 119.57 -33.47  4.37
 164 120.88 -13.47  5.43
 165 119.87 -31.94  3.27
 166 119.18 -41.53  5.87
 167 119.36 -41.35  5.36
 168 121.42  -6.30  2.23
 169 304.22 -43.96  6.85
 170 322.13 -82.73  6.69
 171 309.65 -72.18  6.01
 172 108.92 -79.09  6.49
 173  85.79 -85.86  6.14
 174 116.05 -67.08  5.91
 175 120.76 -23.37  5.33
 176 305.56 -57.61  5.89
 177 121.98   3.29  5.83
 178 120.09 -38.19  6.04
 179 121.41 -12.33  4.80
 180 308.31 -70.94  4.59
 181 121.77  -4.10  6.17
 183 305.65 -60.57  5.70
 184 121.52 -15.82  4.94
 185 311.54 -78.52  6.06
 186 304.92 -56.83  5.98
 187 304.43 -51.63  5.39
 188 111.31 -80.68  2.04
 189 121.72 -14.99  5.67
 190 115.84 -74.78  6.02
 191 305.08 -59.63  4.36
 192 122.55  12.12  5.66
 193 121.78 -14.57  4.54
 194 116.69 -73.39  4.76
 195 310.14 -78.60  5.90
 196 122.05  -7.64  5.42
 197 106.02 -84.66  5.24
 198 307.36 -74.40  5.94
 199 304.31 -54.61  6.07
 200 122.50   6.46  6.33
 201 119.00 -67.46  6.15
 202 305.07 -63.39  6.15
 203 117.05 -75.68  6.15
 204 122.19  -7.56  6.52
 205 121.95 -18.00  6.05
 206 115.55 -79.21  6.47
 207 122.33  -3.29  6.39
 208 122.69  11.98  5.41
 209 305.68 -69.54  5.80
 210 108.14 -85.24  5.50
 211 121.19 -47.38  5.38
 212 122.68   9.80  5.87
 213 121.22 -50.88  5.50
 214 121.57 -43.28  6.13
 215 121.74 -38.59  4.06
 216 121.13 -56.12  5.99
 217 121.82 -41.94  6.54
 218 117.34 -80.89  5.70
 219 122.60  -5.05  3.44
 220 114.55 -84.54  5.57
 221 121.55 -55.56  5.93
 222 121.49 -57.57  5.75
 223 122.51 -11.90  4.89
 224 121.73 -55.28  4.43
 225 122.09 -45.92  5.07
 226 122.60 -21.79  4.53
 227 120.84 -76.42  5.59
 228 113.36 -86.97  5.90
 229 304.21 -70.42  6.27
 230 122.51 -35.16  7.00
 231 122.51 -35.16  7.10
 232 116.39 -86.21  6.28
 233 122.85   1.38  5.39
 234 122.72 -17.87  6.15
 235 121.81 -73.51  5.19
 236 303.18 -42.20  5.07
 237 122.91  -1.07  6.07
 238 122.85 -11.36  6.39
 239 303.82 -73.73  6.48
 240 123.03  20.84  5.62
 241 122.95 -11.30  6.21
 242 303.23 -66.14  5.22
 243 122.87 -59.49  6.37
 244 123.13  -1.75  4.82
 245 302.66 -73.42  6.90
 246 123.24 -24.32  6.69
 247 128.10 -86.87  5.46
 248 123.83 -64.01  4.77
 249 123.38 -25.45  6.06
 250 123.29 -10.18  6.27
 251 132.59 -87.62  6.46
 252 302.81 -47.62  6.22
 253 123.39  -3.90  4.83
 254 123.96 -43.68  5.74
 255 125.17 -71.60  6.16
 256 123.55 -14.19  6.27
 257 302.51 -54.25  5.70
 258 123.97 -39.24  5.47
 259 124.03 -38.31  6.20
 260 123.57  -4.87  6.21
 261 123.43   5.91  6.37
 262 124.17 -35.65  6.09
 263 126.06 -70.19  5.85
 264 123.58  -2.15  2.47
 265 123.60  -3.68  4.63
 266 123.59  -2.50  5.55
 267 127.04 -74.10  5.31
 268 246.23 -88.81  6.10
 269 124.07 -24.36  3.87
 270 302.47 -47.60  5.45
 271 124.65 -39.43  4.42
 272 124.07 -17.02  6.12
 273 123.64   3.49  5.97
 274 124.62 -33.86  5.42
 275 124.54 -28.90  5.98
 276 125.34 -49.15  6.32
 277 125.07 -41.44  6.37
 278 123.68   8.12  6.39
 279 129.49 -74.16  5.61
 280 268.05 -87.27  4.31
 281 301.40 -56.41  6.23
 282 124.54 -18.13  6.84
 283 124.54 -18.13  6.04
 284 126.69 -56.33  6.11
 285 123.24  23.40  4.25
 286 123.13  26.16  6.46
 287 124.68 -11.80  6.47
 288 293.64 -78.03  5.59
 289 124.97 -15.45  6.45
 290 125.24 -21.47  5.98
 291 125.75 -31.00  5.50
 292 124.40  -1.76  5.92
 293 275.15 -84.97  5.50
 294 127.89 -54.87  4.28
 295 300.04 -60.07  6.11
 296 130.52 -67.54  5.43
 297 124.47  -1.25  5.84
 298 124.88 -10.32  5.99
 299 297.02 -70.60  5.36
 300 256.19 -86.46  6.29
 301 129.39 -61.35  6.04
 302 125.08 -11.81  6.54
 303 126.31 -33.13  6.19
 304 301.05 -51.63  6.21
 305 125.67 -22.81  6.72
 306 123.27  24.29  6.25
 307 129.09 -57.05  6.00
 308 127.84 -47.80  5.68
 309 124.64  -0.06  6.54
 310 127.34 -41.28  5.34
 311 127.35 -41.28  5.56
 312 123.74  17.17  6.29
 313 129.66 -57.77  6.35
 314 129.68 -57.77  7.25
 315 134.63 -72.53  6.12
 316 125.06  -5.87  6.43
 317 134.92 -72.37  5.58
 318 125.30  -9.30  6.38
 319 128.64 -49.75  6.12
 320 170.31 -85.44  6.14
 321 125.32  -7.85  5.17
 322 295.51 -70.20  3.31
 323 283.32 -80.89  6.61
 324 126.08 -18.83  5.03
 325 172.43 -85.26  6.37
 326 125.19  -4.53  5.79
 327 127.02 -30.73  6.25
 328 128.13 -41.96  5.55
 329 136.22 -72.24  5.82
 330 130.68 -56.96  5.52
 331 290.82 -75.25  5.21
 332 299.64 -55.25  5.37
 333 123.91  16.84  5.64
 334 137.15 -72.58  3.45
 335 126.11 -15.52  4.25
 336 124.68   5.97  5.29
 337 127.10 -27.10  2.06
 338 297.83 -61.71  3.92
 339 128.85 -43.00  5.55
 340 126.67 -20.65  5.65
 341 128.29 -37.22  5.80
 342 125.10   1.42  5.55
 343 125.76  -7.61  4.33
 344 129.55 -46.96  6.06
 345 125.07   2.23  5.57
 346 137.48 -71.25  6.40
 347 132.54 -60.07  5.95
 348 127.24 -24.98  5.81
 349 127.84 -31.26  5.16
 350 298.05 -59.26  6.41
 351 129.18 -41.59  4.66
 352 128.12 -32.58  4.51
 353 134.84 -64.65  5.94
 354 125.50  -1.06  6.41
 355 126.82 -17.37  6.11
 356 128.47 -32.58  6.19
 357 124.08  17.09  6.26
 358 252.89 -84.13  6.52
 359 281.60 -78.37  5.92
 360 129.37 -38.01  4.65
 361 132.56 -54.88  5.24
 362 132.57 -54.87  6.30
 363 128.94 -34.08  6.43
 364 130.84 -46.39  5.98
 365 124.89   8.97  7.83
 366 139.80 -70.04  5.13
 367 133.14 -55.41  6.03
 368 136.01 -63.25  5.70
 369 127.24 -14.58  6.61
 370 290.10 -71.00  4.96
 371 128.91 -29.47  6.02
 372 127.70 -17.73  6.34
 373 137.75 -64.64  5.41
 374 129.36 -30.80  6.73
 375 124.54  14.79  6.31
 376 127.61 -15.21  6.25
 377 299.66 -48.10  4.86
 378 135.63 -58.61  5.16
 379 128.93 -25.17  6.46
 380 298.90 -50.53  6.24
 381 124.79  13.48  6.38
 382 126.71  -4.43  4.98
 383 130.56 -35.19  4.76
 384 126.10   1.97  6.34
 385 138.45 -62.52  5.87
 386 124.57  15.96  6.07
 387 140.45 -65.12  6.23
 388 147.57 -72.71  6.15
 389 130.75 -33.68  5.23
 390 128.58 -17.00  4.88
 391 127.14  -4.47  6.45
 392 138.75 -60.18  6.20
 393 139.87 -62.29  6.49
 394 166.13 -79.24  6.35
 395 129.94 -24.72  5.58
 396 130.47 -28.16  6.29
 397 132.99 -41.78  5.97
 398 125.75   8.30  6.49
 399 126.15   5.47  4.74
 400 243.40 -82.02  5.84
 401 146.42 -69.38  6.21
 402 146.59 -69.54  3.60
 403 127.19  -2.35  2.68
 404 145.55 -68.33  5.91
 405 158.54 -76.18  6.14
 406 142.56 -64.44  6.15
 407 132.98 -38.69  6.18
 408 279.66 -74.10  5.42
 409 129.61 -18.96  5.96
 410 131.00 -27.75  6.31
 411 284.11 -71.36  6.26
 412 157.07 -75.16  4.90
 413 134.19 -42.94  5.38
 414 134.31 -42.85  5.50
 415 131.25 -27.92  6.27
 416 141.83 -61.98  6.41
 417 129.56 -17.00  4.83
 418 130.20 -21.26  6.46
 419 139.88 -58.16  6.58
 420 296.98 -52.37  5.93
 421 155.16 -73.67  5.66
 422 130.39 -22.01  6.60
 423 250.18 -80.59  5.79
 424 123.28  26.46  2.02
 425 152.44 -71.66  6.13
 426 138.54 -53.79  6.20
 427 126.30   7.65  5.81
 428 126.92   3.53  6.14
 429 280.52 -72.17  3.41
 430 129.75 -15.35  5.27
 431 254.77 -79.59  6.58
 432 135.56 -43.57  6.02
 433 182.65 -79.72  5.12
 434 140.07 -55.43  4.84
 435 284.52 -68.99  6.31
 436 209.10 -81.25  5.93
 437 137.01 -46.43  3.62
 438 132.33 -27.33  6.39
 439 128.44  -4.09  5.70
 440 286.27 -66.75  3.95
 441 234.96 -80.63  5.82
 442 128.35  -3.19  4.71
 443 282.11 -69.89  6.17
 444 153.38 -69.39  6.59
 445 263.48 -76.89  5.51
 446 132.32 -24.85  5.88
 447 286.40 -66.06  6.28
 448 151.37 -67.53  5.76
 449 126.09  11.71  6.58
 450 137.11 -43.21  5.89
 451 166.32 -74.78  5.63
 452 131.88 -21.02  6.38
 453 242.30 -79.43  6.12
 454 130.54 -13.48  5.92
 455 138.71 -46.85  6.22
 456 126.40  10.49  5.28
 457 137.79 -44.15  5.80
 458 132.00 -20.66  4.09
 459 166.61 -74.36  5.42
 460 292.01 -58.05  6.01
 461 129.11  -4.33  5.56
 462 231.37 -79.80  5.69
 463 140.16 -49.20  5.57
 464 130.81 -13.53  3.57
 465 131.53 -16.68  6.36
 466 156.70 -69.19  6.24
 467 300.26 -38.41  6.11
 468 291.74 -57.86  6.18
 469 131.89 -17.65  4.98
 470 130.16  -8.32  6.39
 471 259.18 -76.31  5.94
 472 290.84 -58.79  0.46
 473 187.04 -77.72  5.58
 474 204.39 -79.16  6.70
 475 139.37 -44.92  5.97
 476 132.35 -18.67  5.61
 477 132.92 -21.34  4.94
 478 127.68   5.64  5.59
 479 287.70 -62.27  6.84
 480 127.21   8.18  5.18
 481 129.02  -1.23  6.71
 482 129.52  -3.59  6.37
 483 132.70 -19.30  4.95
 484 136.80 -35.78  6.17
 485 135.69 -31.58  5.99
 486 289.60 -59.66  5.87
 487 289.60 -59.66  5.76
 488 129.06  -0.84  6.34
 489 145.12 -55.22  4.44
 490 134.46 -26.49  5.64
 491 129.27  -1.68  5.78
 492 162.14 -70.26  5.75
 493 138.88 -41.01  5.24
 494 262.44 -74.80  6.17
 495 132.40 -16.59  6.34
 496 131.32 -11.33  4.07
 497 241.27 -77.84  5.25
 498 258.27 -75.56  5.72
 499 130.00  -4.61  6.21
 500 152.75 -63.55  4.99
 501 283.51 -65.15  6.64
 502 130.16  -5.03  6.25
 503 135.65 -29.38  6.34
 504 132.43 -15.75  6.35
 505 292.17 -55.27  5.71
 506 286.90 -61.77  5.52
 507 154.47 -64.37  6.19
 508 139.67 -41.04  6.27
 509 173.19 -73.43  3.50
 510 144.61 -51.43  4.26
 511 129.08   1.66  5.63
 512 301.23 -34.00  5.87
 513 156.61 -64.97  5.34
 514 206.28 -77.66  5.31
 515 141.20 -43.49  6.55
 516 299.99 -37.69  6.33
 517 217.10 -77.87  6.39
 518 133.00 -15.54  6.32
 519 282.92 -64.14  5.49
 520 285.68 -61.74  5.04
 521 135.20 -23.55  5.94
 522 141.89 -43.82  5.84
 523 136.65 -28.66  5.79
 524 268.52 -71.43  6.18
 525 301.70 -32.25  5.69
 526 132.86 -13.86  5.82
 527 149.17 -56.25  5.91
 528 256.59 -74.45  6.32
 529 132.18  -9.87  5.90
 530 140.39 -38.60  5.86
 531 165.48 -68.61  4.67
 532 233.70 -76.77  6.34
 533 131.57  -6.70  5.52
 534 145.58 -49.20  5.94
 535 259.30 -73.37  6.37
 536 132.64 -10.93  5.79
 537 277.77 -66.33  6.14
 538 132.58 -10.24  6.26
 539 165.88 -68.05  3.73
 540 131.72  -6.21  6.45
 541 280.70 -64.28  5.94
 542 129.84   1.65  3.38
 543 135.40 -20.64  5.40
 544 138.64 -31.40  3.41
 545 142.55 -41.20  4.83
 546 142.55 -41.20  4.75
